[2026-05-13T15:54:20.619Z] GET https://jakub.kr/work/shadows → 200 (474ms, ?B)
[2026-05-13T15:54:21.106Z] GET https://jakub.kr/_next/static/media/BerkeleyMono_Bold-s.p.15y7eh8t.wo_w.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.107Z] GET https://jakub.kr/_next/static/media/BerkeleyMono_Regular-s.p.14efu8.a_xo32.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.107Z] GET https://jakub.kr/_next/static/media/InterVariable-s.p.0r27kd5h06n72.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.108Z] GET https://jakub.kr/_next/static/media/LibreBaskerville_Italic-s.p.0_2t5x66g78__.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.108Z] GET https://jakub.kr/_next/static/media/OpenRunde_Medium-s.p.0spdbphjt0._g.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.109Z] GET https://jakub.kr/_next/static/media/OpenRunde_Semibold-s.p.039fg_97tx5q..woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.111Z] GET https://jakub.kr/_next/static/media/Redaction_35_Italic-s.p.009xb.42_cand.woff2 → pending (?ms, ?B)
[2026-05-13T15:54:21.111Z] GET https://jakub.kr/_next/static/chunks/13eaubkt6rvv1.css → pending (?ms, ?B)
[2026-05-13T15:54:21.112Z] GET https://jakub.kr/_next/static/chunks/0b91ivfb_rynn.css → pending (?ms, ?B)
[2026-05-13T15:54:21.112Z] GET https://jakub.kr/_next/static/chunks/0d-v81sikz9.0.js → pending (?ms, ?B)
[2026-05-13T15:54:21.112Z] GET https://jakub.kr/_next/static/chunks/03iz~ctv~ykag.js → pending (?ms, ?B)
[2026-05-13T15:54:21.112Z] GET https://jakub.kr/_next/static/chunks/069jramvl91ox.js → pending (?ms, ?B)
[2026-05-13T15:54:21.112Z] GET https://jakub.kr/_next/static/chunks/0hzbo.7--6igi.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/0_6~4h8j7.efb.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/turbopack-0qrh4wr8ctgmj.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/0tdvd-pux.zj9.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/0iqh0zobmkdln.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/0eg351jc94ku5.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/0v-wne3o0.q4d.js → pending (?ms, ?B)
[2026-05-13T15:54:21.115Z] GET https://jakub.kr/_next/static/chunks/09vchxuphby56.js → pending (?ms, ?B)
[2026-05-13T15:54:21.117Z] GET https://jakub.kr/_next/static/chunks/0mo0qug_2k3qw.js → pending (?ms, ?B)
[2026-05-13T15:54:21.117Z] GET https://jakub.kr/_next/static/chunks/01rfzdtg_1nq5.js → pending (?ms, ?B)
[2026-05-13T15:54:21.117Z] GET https://jakub.kr/_next/static/chunks/07fspfk~rt76q.js → pending (?ms, ?B)
[2026-05-13T15:54:21.117Z] GET https://jakub.kr/_next/static/chunks/0ghq6egnn2lp2.js → pending (?ms, ?B)
[2026-05-13T15:54:21.390Z] GET https://jakub.kr/_next/image?url=https%3A%2F%2Foiszjiwtfc65cwa2.public.blob.vercel-storage.com%2Fdetails-that-make-interfaces-feel-better%2Foutline-example.avif&w=1080&q=75 → 200 (66ms, 18631B)
[2026-05-13T15:54:21.448Z] GET https://jakub.kr/_next/static/chunks/0738k.fqmrb2k.js → 200 (18ms, 33474B)
[2026-05-13T15:54:21.449Z] GET https://cloudflare.com/cdn-cgi/trace → 200 (43ms, 353B)
[2026-05-13T15:54:21.450Z] GET https://jakub.kr/_next/static/chunks/0a~dgmm7mw247.js → 200 (37ms, 534B)
[2026-05-13T15:54:21.453Z] GET https://jakub.kr/_next/static/chunks/0ct96v_-yb9b3.js → 200 (35ms, 1967B)
[2026-05-13T15:54:21.454Z] GET https://jakub.kr/_next/static/chunks/0on.5d-3qj-ri.js → 200 (34ms, 1230B)
[2026-05-13T15:54:21.454Z] GET https://jakub.kr/_next/static/chunks/0l9sqhxi4hmr3.js → 200 (35ms, 1396B)
[2026-05-13T15:54:21.456Z] GET https://jakub.kr/api/interfere/v1/config → pending (?ms, ?B)
[2026-05-13T15:54:21.495Z] GET https://jakub.kr/_next/static/chunks/16obi996~dhtv.js → 200 (63ms, 105395B)
[2026-05-13T15:54:21.557Z] GET https://jakub.kr/_vercel/insights/script.js → 200 (28ms, 2495B)
[2026-05-13T15:54:21.557Z] GET https://jakub.kr/?_rsc=FhC4H9A-OP9RGEcC → 200 (32ms, 1110B)
[2026-05-13T15:54:21.559Z] GET https://jakub.kr/_vercel/speed-insights/script.js → 200 (31ms, 12567B)
[2026-05-13T15:54:21.590Z] GET https://jakub.kr/?_rsc=oe3QMLVTDBcEt3DS → 200 (147ms, 3290B)
[2026-05-13T15:54:21.590Z] GET https://jakub.kr/?_rsc=Ptv-inLRPBnJ2UKG → 200 (96ms, 5530B)
[2026-05-13T15:54:21.590Z] GET https://jakub.kr/?_rsc=TDsiI3al8feCT68M → 200 (95ms, 36414B)
[2026-05-13T15:54:21.687Z] POST https://jakub.kr/api/interfere/v1/ingest → 202 (172ms, 24B)
[2026-05-13T15:54:21.692Z] GET https://jakub.kr/_next/static/chunks/06tekb.low-zy.js → 200 (45ms, 31634B)
[2026-05-13T15:54:21.744Z] POST https://jakub.kr/api/interfere/v1/session → pending (?ms, ?B)
[2026-05-13T15:54:31.681Z] POST https://jakub.kr/api/interfere/v1/ingest → pending (?ms, ?B)
[2026-05-13T15:54:41.580Z] POST https://jakub.kr/api/interfere/v1/session → pending (?ms, ?B)
[2026-05-13T15:54:41.653Z] POST https://jakub.kr/api/interfere/v1/ingest → 202 (360ms, 24B)
[2026-05-13T15:54:51.653Z] POST https://jakub.kr/api/interfere/v1/ingest → 202 (290ms, 24B)
